Phi1,Phi2,Phi3,Phi4,Phi5
2.467917677348881,1.0519399206425553,5.09463433810448,0.4587353498010776,5.191581051661644
0.010111476874161243,0.09306347315751683,1.7313711035406554,2.4931574575616278,5.9362689205196855
6.171100055368587,1.6408672926872268,3.714655234220045,5.241878845880898,2.340130756882737
4.9719823216181345,2.755686753875185,3.142587126927116,3.6827894584775587,5.508592102603076
4.686506878195805,1.1189601441700319,1.149467411944962,1.7304896753189787,1.959158524873721
1.5122054867789383,3.3909597876079487,4.360872313030786,3.3795706171290685,1.7877221669111856
5.488831886800497,0.1311958765046676,2.137425122450946,4.819909727312683,2.4017714039580573
1.230330717858666,4.865550898363822,2.3564774339720027,0.6533145011249677,0.06362487104961445
1.59833079218367,5.203067155244532,4.0827086949867475,5.249673737090394,4.027166751271901
3.969719174874051,0.7117493952676335,3.4955591288399894,4.460805069407316,0.9335668036358566
